COUNTYNAME,RealPlantArea,HarvestArea,UnitYield,Yield,Crop,Year,Season
彰化縣,22512.89,22512.89,7372,165962028,Rice,2019,first
南投縣,2262.79,2262.79,6959,15746700,Rice,2019,first
雲林縣,28328.37,28328.37,7668,217209782,Rice,2019,first
嘉義縣,17386.96,17386.96,7625,132571230,Rice,2019,first
台南市,11460.14,11460.14,7319,83872047,Rice,2019,first
高雄市,4566.18,4566.18,7109,32462817,Rice,2019,first
屏東縣,5207.70,5207.70,7629,39728959,Rice,2019,first
台東縣,6552.99,6552.99,6092,39918266,Rice,2019,first
花蓮縣,8725.55,8725.55,5959,51996290,Rice,2019,first
新竹市,640.00,640.00,6244,3996160,Rice,2019,first
嘉義市,622.17,622.17,7147,4446649,Rice,2019,first
台北市,235.60,235.60,5029,1184832,Rice,2019,first
新北市,9.61,9.61,2891,27783,Rice,2019,second
桃園市,3404.96,3404.96,4895,16668920,Rice,2019,second
新竹縣,3182.07,3182.07,5685,18088706,Rice,2019,second
苗栗縣,4979.03,4979.03,5736,28559860,Rice,2019,second
台中市,11093.02,11093.02,5396,59852633,Rice,2019,second
彰化縣,18153.73,18152.48,6945,126075442,Rice,2019,second
南投縣,2181.22,2181.22,7498,16353720,Rice,2019,second
雲林縣,12587.72,12587.72,6893,86770054,Rice,2019,second
嘉義縣,12996.55,12996.55,6823,88670227,Rice,2019,second
台南市,9472.34,9472.34,6145,58205712,Rice,2019,second
高雄市,379.97,379.97,4224,1604837,Rice,2019,second
屏東縣,945.51,945.51,4256,4024091,Rice,2019,second
台東縣,6065.12,6065.12,5306,32183540,Rice,2019,second
花蓮縣,8148.11,8148.11,5393,43942465,Rice,2019,second
新竹市,551.58,551.58,5877,3241636,Rice,2019,second
嘉義市,577.60,577.60,6313,3646389,Rice,2019,second
台北市,232.33,232.33,3011,699546,Rice,2019,second
新北市,147.37,147.37,5536,815843,Rice,2020,first
宜蘭縣,10013.24,10013.24,6436,64446122,Rice,2020,first
桃園市,10381.03,10381.03,5777,59974851,Rice,2020,first
新竹縣,3294.84,3294.84,6294,20737354,Rice,2020,first
苗栗縣,5353.95,5353.95,6712,35935883,Rice,2020,first
台中市,12699.56,12699.56,7112,90313758,Rice,2020,first
彰化縣,22138.02,22137.41,7819,173094983,Rice,2020,first
南投縣,2083.79,2083.79,6920,14419251,Rice,2020,first
雲林縣,25764.13,25764.13,7687,198047721,Rice,2020,first
嘉義縣,16802.12,16802.12,7563,127079428,Rice,2020,first
台南市,11156.86,11156.86,6919,77192990,Rice,2020,first
高雄市,4450.86,4450.86,8026,35723932,Rice,2020,first
屏東縣,5146.97,5146.97,7571,38966627,Rice,2020,first
台東縣,6498.33,6498.33,5453,35432312,Rice,2020,first
花蓮縣,8421.30,8421.30,5224,43989682,Rice,2020,first
新竹市,643.00,643.00,6285,4041255,Rice,2020,first
嘉義市,596.67,596.67,6979,4163888,Rice,2020,first
台北市,232.29,232.29,5367,1246700,Rice,2020,first
新北市,6.01,6.01,2623,15765,Rice,2020,second
桃園市,4716.76,3474.57,3596,12495016,Rice,2020,second
新竹縣,3869.39,3869.39,4216,16313348,Rice,2020,second
苗栗縣,5050.52,5050.52,5907,29834670,Rice,2020,second
台中市,11141.59,11136.59,5905,65766119,Rice,2020,second
彰化縣,17884.27,17882.31,7277,130132510,Rice,2020,second
南投縣,2111.01,2111.01,7949,16780418,Rice,2020,second
雲林縣,12325.81,12325.81,7014,86448467,Rice,2020,second
嘉義縣,13539.84,13539.84,6741,91278644,Rice,2020,second
台南市,9554.18,9554.18,5935,56706131,Rice,2020,second
高雄市,385.36,385.36,5331,2054354,Rice,2020,second
屏東縣,895.91,895.91,4348,3895417,Rice,2020,second
台東縣,6455.26,6455.26,5374,34689444,Rice,2020,second
花蓮縣,8451.06,8451.06,4656,39344554,Rice,2020,second
新竹市,565.07,565.07,5500,3107885,Rice,2020,second
嘉義市,579.20,579.20,6648,3850522,Rice,2020,second
台北市,225.96,225.96,3057,690760,Rice,2020,second
新北市,103.52,103.52,5516,571009,Rice,2021,first
宜蘭縣,10451.47,10451.47,6641,69409932,Rice,2021,first
桃園市,3792.02,3792.02,5457,20691600,Rice,2021,first
新竹縣,2597.85,2597.85,5844,15182106,Rice,2021,first
苗栗縣,3451.99,3451.99,5975,20624896,Rice,2021,first
台中市,5837.96,5837.96,7659,44715150,Rice,2021,first
彰化縣,21837.44,21837.44,8189,178833931,Rice,2021,first
南投縣,1964.17,1964.17,8274,16252420,Rice,2021,first
雲林縣,26458.94,26458.94,8453,223656113,Rice,2021,first
嘉義縣,9168.64,9168.64,8209,75267369,Rice,2021,first
台南市,3270.02,3270.02,7870,25734363,Rice,2021,first
高雄市,4537.11,4537.11,8054,36540852,Rice,2021,first
屏東縣,5369.04,5369.04,7521,40378108,Rice,2021,first
台東縣,6522.15,6522.15,6726,43870813,Rice,2021,first
花蓮縣,8517.19,8517.19,6431,54777288,Rice,2021,first
新竹市,132.98,132.98,6150,817827,Rice,2021,first
嘉義市,561.09,561.09,7024,3941096,Rice,2021,first
台北市,226.58,226.58,5793,1312578,Rice,2021,first
新北市,8.41,8.41,4028,33875,Rice,2021,second
桃園市,3290.78,3290.78,4786,15749673,Rice,2021,second
新竹縣,3053.48,3053.48,6029,18408740,Rice,2021,second
苗栗縣,4857.03,4857.03,5757,27961385,Rice,2021,second
台中市,10206.51,10206.23,6336,64669963,Rice,2021,second
彰化縣,17693.32,17691.44,6578,116375811,Rice,2021,second
南投縣,2017.37,2017.37,7715,15563204,Rice,2021,second
雲林縣,12572.26,12572.26,6669,83838397,Rice,2021,second
嘉義縣,12011.57,12011.57,6795,81613338,Rice,2021,second
台南市,9200.42,9200.42,6221,57233393,Rice,2021,second
高雄市,427.65,427.65,4720,2018670,Rice,2021,second
屏東縣,992.70,992.70,4457,4424349,Rice,2021,second
台東縣,6239.80,6239.80,5369,33499649,Rice,2021,second
花蓮縣,8128.44,8128.44,4352,35371113,Rice,2021,second
新竹市,480.11,480.11,6185,2969480,Rice,2021,second
嘉義市,565.50,565.50,6984,3949452,Rice,2021,second
台北市,225.13,225.13,4028,906824,Rice,2021,second
新北市,141.14,141.14,5293,747007,Rice,2022,first
宜蘭縣,10436.76,10436.76,6188,64578699,Rice,2022,first
桃園市,11213.20,11213.20,5070,56846241,Rice,2022,first
新竹縣,4540.22,4540.22,5243,23806010,Rice,2022,first
苗栗縣,4698.71,4698.71,5789,27200037,Rice,2022,first
台中市,12343.57,12343.54,7273,89776895,Rice,2022,first
彰化縣,22582.76,22582.32,7806,176277281,Rice,2022,first
南投縣,1955.16,1955.16,6907,13504259,Rice,2022,first
雲林縣,26639.22,26639.22,7930,211259299,Rice,2022,first
嘉義縣,16260.49,16260.49,7193,116967274,Rice,2022,first
台南市,6421.34,6421.34,6256,40170196,Rice,2022,first
高雄市,4669.23,4669.23,6851,31990179,Rice,2022,first
屏東縣,5659.90,5659.90,5975,33820653,Rice,2022,first
台東縣,6644.19,6644.04,5473,36360983,Rice,2022,first
花蓮縣,8345.87,8345.87,5526,46121613,Rice,2022,first
新竹市,620.50,620.50,5908,3665784,Rice,2022,first
嘉義市,632.56,632.56,6126,3875062,Rice,2022,first
台北市,226.19,226.19,4463,1009486,Rice,2022,first
新北市,6.29,6.29,2063,12977,Rice,2022,second
桃園市,1896.06,1896.06,4124,7818620,Rice,2022,second
新竹縣,2026.29,2026.29,5167,10469877,Rice,2022,second
苗栗縣,3967.65,3967.65,6082,24133151,Rice,2022,second
台中市,7854.15,7854.15,6905,54229635,Rice,2022,second
彰化縣,14787.35,14787.35,6456,95466908,Rice,2022,second
南投縣,1890.85,1890.85,7750,14653880,Rice,2022,second
雲林縣,10027.45,10027.45,6654,66719424,Rice,2022,second
嘉義縣,10642.73,10642.73,6550,69706697,Rice,2022,second
台南市,8402.98,8402.98,6528,54858603,Rice,2022,second
高雄市,300.91,300.91,5300,1594778,Rice,2022,second
屏東縣,893.38,893.38,4024,3594946,Rice,2022,second
台東縣,6282.63,6282.63,5410,33987381,Rice,2022,second
花蓮縣,7935.53,7935.53,5246,41632356,Rice,2022,second
新竹市,387.29,387.29,5218,2020973,Rice,2022,second
嘉義市,519.13,519.13,6687,3471353,Rice,2022,second
台北市,219.08,219.08,2402,526230,Rice,2022,second
新北市,220.96,220.96,5281,1166916,Rice,2007,first
宜蘭縣,8557.18,8557.18,6377,54566424,Rice,2007,first
桃園市,6461.28,6461.28,5288,34169468,Rice,2007,first
新竹縣,3665.67,3665.67,5765,21131324,Rice,2007,first
苗栗縣,6576.59,6576.59,5779,38007251,Rice,2007,first
台中市,15141.21,15140.73,6142,93000131,Rice,2007,first
彰化縣,16232.46,16231.24,6496,105443470,Rice,2007,first
南投縣,2282.60,2282.60,6178,14100887,Rice,2007,first
雲林縣,24547.00,24547.00,6110,149982170,Rice,2007,first
嘉義縣,16156.88,16156.88,6430,103884030,Rice,2007,first
台南市,11645.20,11645.20,6598,76831357,Rice,2007,first
高雄市,3647.59,3647.59,6623,24158263,Rice,2007,first
屏東縣,4384.40,4384.40,7157,31379151,Rice,2007,first
台東縣,6108.91,6108.91,5526,33759802,Rice,2007,first
花蓮縣,6895.84,6895.84,5820,40131872,Rice,2007,first
新竹市,719.55,719.55,5811,4181305,Rice,2007,first
嘉義市,546.00,546.00,6269,3422968,Rice,2007,first
台北市,250.00,250.00,4887,1221750,Rice,2007,first
新北市,14.43,14.43,4660,67251,Rice,2007,second
桃園市,4247.50,4247.50,3588,15240303,Rice,2007,second
新竹縣,3026.90,3026.90,4405,13334209,Rice,2007,second
苗栗縣,5131.32,5129.44,3810,19542025,Rice,2007,second
台中市,13913.58,13911.68,3339,46450467,Rice,2007,second
